Hashing Strategy;Hash Function Family; Load Factor; Operation; ops/ns;
Linear Probing;2-Independent Polynomial Hash; 0.30000;Insertion   ;29.33;
Linear Probing;2-Independent Polynomial Hash; 0.30000;Query   ;99.16;
Linear Probing;2-Independent Polynomial Hash; 0.50000;Insertion   ;53.00;
Linear Probing;2-Independent Polynomial Hash; 0.50000;Query  ;115.63;
Linear Probing;2-Independent Polynomial Hash; 0.70000;Insertion   ;75.42;
Linear Probing;2-Independent Polynomial Hash; 0.70000;Query  ;129.01;
Linear Probing;2-Independent Polynomial Hash; 0.90000;Insertion  ;106.19;
Linear Probing;2-Independent Polynomial Hash; 0.90000;Query  ;198.31;
Linear Probing;2-Independent Polynomial Hash; 0.99000;Insertion  ;131.92;
Linear Probing;2-Independent Polynomial Hash; 0.99000;Query  ;369.35;
Linear Probing;3-Independent Polynomial Hash; 0.30000;Insertion   ;31.99;
Linear Probing;3-Independent Polynomial Hash; 0.30000;Query  ;104.80;
Linear Probing;3-Independent Polynomial Hash; 0.50000;Insertion   ;51.92;
Linear Probing;3-Independent Polynomial Hash; 0.50000;Query  ;115.74;
Linear Probing;3-Independent Polynomial Hash; 0.70000;Insertion   ;77.71;
Linear Probing;3-Independent Polynomial Hash; 0.70000;Query  ;138.96;
Linear Probing;3-Independent Polynomial Hash; 0.90000;Insertion  ;115.26;
Linear Probing;3-Independent Polynomial Hash; 0.90000;Query  ;235.22;
Linear Probing;3-Independent Polynomial Hash; 0.99000;Insertion  ;142.16;
Linear Probing;3-Independent Polynomial Hash; 0.99000;Query  ;451.04;
Linear Probing;5-Independent Polynomial Hash; 0.30000;Insertion   ;31.08;
Linear Probing;5-Independent Polynomial Hash; 0.30000;Query  ;110.17;
Linear Probing;5-Independent Polynomial Hash; 0.50000;Insertion   ;54.18;
Linear Probing;5-Independent Polynomial Hash; 0.50000;Query  ;119.91;
Linear Probing;5-Independent Polynomial Hash; 0.70000;Insertion   ;82.76;
Linear Probing;5-Independent Polynomial Hash; 0.70000;Query  ;142.62;
Linear Probing;5-Independent Polynomial Hash; 0.90000;Insertion  ;116.83;
Linear Probing;5-Independent Polynomial Hash; 0.90000;Query  ;237.19;
Linear Probing;5-Independent Polynomial Hash; 0.99000;Insertion  ;143.78;
Linear Probing;5-Independent Polynomial Hash; 0.99000;Query  ;424.40;
Linear Probing;3-Independent Tabulation Hash; 0.30000;Insertion   ;31.29;
Linear Probing;3-Independent Tabulation Hash; 0.30000;Query  ;101.67;
Linear Probing;3-Independent Tabulation Hash; 0.50000;Insertion   ;51.30;
Linear Probing;3-Independent Tabulation Hash; 0.50000;Query  ;109.75;
Linear Probing;3-Independent Tabulation Hash; 0.70000;Insertion   ;76.30;
Linear Probing;3-Independent Tabulation Hash; 0.70000;Query  ;137.41;
Linear Probing;3-Independent Tabulation Hash; 0.90000;Insertion  ;111.88;
Linear Probing;3-Independent Tabulation Hash; 0.90000;Query  ;231.23;
Linear Probing;3-Independent Tabulation Hash; 0.99000;Insertion  ;139.65;
Linear Probing;3-Independent Tabulation Hash; 0.99000;Query  ;390.70;
Linear Probing;Identity Hash; 0.30000;Insertion   ;25.50;
Linear Probing;Identity Hash; 0.30000;Query   ;86.03;
Linear Probing;Identity Hash; 0.50000;Insertion   ;44.45;
Linear Probing;Identity Hash; 0.50000;Query   ;97.20;
Linear Probing;Identity Hash; 0.70000;Insertion   ;65.49;
Linear Probing;Identity Hash; 0.70000;Query  ;115.26;
Linear Probing;Identity Hash; 0.90000;Insertion   ;94.33;
Linear Probing;Identity Hash; 0.90000;Query  ;185.92;
Linear Probing;Identity Hash; 0.99000;Insertion  ;116.72;
Linear Probing;Identity Hash; 0.99000;Query  ;320.98;
Linear Probing;Jenkins Hash; 0.30000;Insertion   ;32.90;
Linear Probing;Jenkins Hash; 0.30000;Query  ;112.98;
Linear Probing;Jenkins Hash; 0.50000;Insertion   ;57.09;
Linear Probing;Jenkins Hash; 0.50000;Query  ;125.51;
Linear Probing;Jenkins Hash; 0.70000;Insertion   ;84.55;
Linear Probing;Jenkins Hash; 0.70000;Query  ;147.92;
Linear Probing;Jenkins Hash; 0.90000;Insertion  ;120.41;
Linear Probing;Jenkins Hash; 0.90000;Query  ;234.11;
Linear Probing;Jenkins Hash; 0.99000;Insertion  ;148.85;
Linear Probing;Jenkins Hash; 0.99000;Query  ;424.84;
Robin Hood;2-Independent Polynomial Hash; 0.30000;Insertion   ;32.74;
Robin Hood;2-Independent Polynomial Hash; 0.30000;Query  ;108.33;
Robin Hood;2-Independent Polynomial Hash; 0.50000;Insertion   ;58.03;
Robin Hood;2-Independent Polynomial Hash; 0.50000;Query  ;115.03;
Robin Hood;2-Independent Polynomial Hash; 0.70000;Insertion   ;98.22;
Robin Hood;2-Independent Polynomial Hash; 0.70000;Query  ;127.02;
Robin Hood;2-Independent Polynomial Hash; 0.90000;Insertion  ;180.47;
Robin Hood;2-Independent Polynomial Hash; 0.90000;Query  ;152.66;
Robin Hood;2-Independent Polynomial Hash; 0.99000;Insertion  ;304.34;
Robin Hood;2-Independent Polynomial Hash; 0.99000;Query  ;184.87;
Robin Hood;3-Independent Polynomial Hash; 0.30000;Insertion   ;33.52;
Robin Hood;3-Independent Polynomial Hash; 0.30000;Query  ;111.81;
Robin Hood;3-Independent Polynomial Hash; 0.50000;Insertion   ;61.03;
Robin Hood;3-Independent Polynomial Hash; 0.50000;Query  ;120.09;
Robin Hood;3-Independent Polynomial Hash; 0.70000;Insertion  ;102.30;
Robin Hood;3-Independent Polynomial Hash; 0.70000;Query  ;133.38;
Robin Hood;3-Independent Polynomial Hash; 0.90000;Insertion  ;220.26;
Robin Hood;3-Independent Polynomial Hash; 0.90000;Query  ;169.38;
